Faux data set, 20 monitoring wells with 50 sampling locations
5
well_id: equal to the well number of a sample point
x_coord: equal to y coordinate in Reed Maxwell's data
y_coord: equal to x coordinate in Reed Maxwell's data
z_coord
10_conc(mg/m^3aq)
1               60              540             81.9            0.00000E+00
1               60              540             89.1            6.85800E+00
2               120             540             78.3            0.00000E+00
2               120             540             95.4            1.58688E+01
3               180             540             76.5            0.00000E+00
3               180             540             86.4            1.65897E+01
3               180             540             96.3            5.81790E+01
4               120             600             98.1            0.00000E+00
5               240             480             74.7            1.83279E+01
5               240             480             86.4            2.86815E+01
6               240             540             83.7            1.04298E+01
6               240             540             91.8            0.00000E+00
7               240             600             79.2            0.00000E+00
7               240             600             90              1.66530E+02
7               240             600             97.2            6.75210E+00
8               300             540             72.9            2.59965E+01
8               300             540             84.6            3.18030E+01
8               300             540             94.5            6.02550E+00
9               360             480             65.7            4.02570E+00
9               360             480             70.2            4.07940E+01
9               360             480             80.1            0.00000E+00
10              360             540             72              1.51044E+01
10              360             540             78.3            2.08593E+01
10              360             540             87.3            0.00000E+00
11              360             600             74.7            0.00000E+00
11              360             600             83.7            2.75139E+02
11              360             600             88.2            2.47293E+01
12              420             480             61.2            0.00000E+00
12              420             480             81.9            4.17180E+01
12              420             480             90.9            6.26820E+01
13              420             600             74.7            3.23280E+00
13              420             600             85.5            1.23201E+01
13              420             600             91.8            0.00000E+00
14              480             480             57.6            0.00000E+00
14              480             480             64.8            1.21548E+00
14              480             480             78.3            1.00152E+01
15              480             600             64.8            4.74180E+00
15              480             600             76.5            8.27220E+01
16              540             540             69.3            0.00000E+00
16              540             540             75.6            2.41365E+01
16              540             540             87.3            7.97640E+00
17              540             600             68.4            0.00000E+00
17              540             600             76.5            2.07795E+01
18              600             540             72.9            1.35576E+02
18              600             540             79.2            0.00000E+00
18              600             540             85.5            1.13013E+01
19              600             600             63.9            0.00000E+00
19              600             600             78.3            1.77081E+01
19              600             600             87.3            3.78120E+01
20              120             480             90              0.00000E+00
